"statementText","ProlificID","click_rating","share_rating","agreement_rating","Educational.Level","DemRep_C_num","Ideology_econ_num","Ideology_soc_num","ideology","income_num","gender","Household","AttentionCheck2","top25pre","bottom25pre","lower25pre","upper25pre","top25post","bottom25post","lower25post","upper25post","inequality_subj_1","inequality_pol_1","inequality_luck_1_1","inequality_subj_2","inequality_pol_2","inequality_luck_2_1","item_nr","condition"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,26,"flipped"
"Voter Turnout in Metro Atlanta Reveals Surprising Geographic Divide","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,70,"flipped"
"Dividend Payments Work: The Surprising Success of Alaska's Permanent Fund","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,76,"flipped"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,50,"flipped"
"Is the US Really the Most Unequal Major Country?","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,23,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,16,"flipped"
"Report Highlights Racial Wealth Gap in US Tax System","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,1,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,15,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,92,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","66d257bc5bc135b6cf963f02",4,4,4,"Doctoral degree",-1,0,0,0,4,"Female",4,"Moderately interested",35,24,16,25,35,24,16,25,5,4,4,4,4,4,65,"flipped"
"How can we understand wealth inequality across countries?","6644724f4469918e5e22d5b1",3,2,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,3,"original"
"The Paradox Of Progress For Black Americans","6644724f4469918e5e22d5b1",2,2,3,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,34,"original"
"New report exposes tax system’s role in widening racial wealth gap, calls for urgent reforms","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,2,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,1,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","6644724f4469918e5e22d5b1",1,1,2,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,44,"original"
"Tax cuts for the wealthy only benefit the rich: debunking trickle-down economics","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,65,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","6644724f4469918e5e22d5b1",1,1,2,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,50,"original"
"Conservative Black columnist speaks on inequality and social justice at Susquehanna","6644724f4469918e5e22d5b1",1,1,2,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,36,"original"
"Global Wealth Report 2024","6644724f4469918e5e22d5b1",2,2,6,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,5,"original"
"Voter turnout in metro Atlanta differs by region, race and income","6644724f4469918e5e22d5b1",1,1,2,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,70,"original"
"Black Americans Face a Critical Choice in the 2024 Election","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,31,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,92,"flipped"
"Dividend Payments Work: The Surprising Success of Alaska's Permanent Fund","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,76,"flipped"
"The Double-Edged Sword of Technological Progress: Balancing Economic Growth and Social Challenges","6644724f4469918e5e22d5b1",2,2,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,16,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","6644724f4469918e5e22d5b1",2,2,5,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,21,"flipped"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","6644724f4469918e5e22d5b1",2,2,5,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,26,"flipped"
"Despite Increased Funding, Minnesota Students Lag Behind Peers","6644724f4469918e5e22d5b1",1,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,103,"flipped"
"Is the US Really the Most Unequal Major Country?","6644724f4469918e5e22d5b1",2,3,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,23,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","6644724f4469918e5e22d5b1",2,1,3,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,15,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","6644724f4469918e5e22d5b1",2,1,4,"High school graduate (high school diploma or equivalent including GED)",1,1,0,0.5,1,"Male",1,"Not at all interested,Extremely interested",96,1,1,2,95,1,1,3,6,5,6,6,5,6,95,"flipped"
"New report exposes tax system’s role in widening racial wealth gap, calls for urgent reforms","5ef2d157c9260013fe94d10d",1,1,2,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,2,"original"
"2024: A Defining Election For Black Rights And Economic Equality","5ef2d157c9260013fe94d10d",2,1,3,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,31,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","5ef2d157c9260013fe94d10d",4,1,3,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,92,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","5ef2d157c9260013fe94d10d",1,1,4,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,103,"original"
"Tax cuts for the wealthy only benefit the rich: debunking trickle-down economics","5ef2d157c9260013fe94d10d",4,1,4,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,65,"original"
"Jamie Dimon on how economic inequality fueled political polarization and what can be done","5ef2d157c9260013fe94d10d",1,1,1,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,95,"original"
"The Paradox Of Progress For Black Americans","5ef2d157c9260013fe94d10d",1,1,4,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,34,"original"
"Can Low Interest Rates Drive Inequality?","5ef2d157c9260013fe94d10d",1,1,3,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,26,"original"
"Bernie Sanders 2020: Is US inequality the highest?","5ef2d157c9260013fe94d10d",1,1,1,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,23,"original"
"Economic Gains From Tech Come at the Cost of Rising Wealth Inequality","5ef2d157c9260013fe94d10d",2,1,5,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,16,"original"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","5ef2d157c9260013fe94d10d",1,1,6,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,3,"flipped"
"Report Highlights Racial Wealth Gap in US Tax System","5ef2d157c9260013fe94d10d",1,1,4,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,1,"flipped"
"Dividend Payments Work: The Surprising Success of Alaska's Permanent Fund","5ef2d157c9260013fe94d10d",3,1,5,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,76,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","5ef2d157c9260013fe94d10d",2,1,5,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,21,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","5ef2d157c9260013fe94d10d",1,1,5,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,15,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","5ef2d157c9260013fe94d10d",1,1,2,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,5,"flipped"
"Voter Turnout in Metro Atlanta Reveals Surprising Geographic Divide","5ef2d157c9260013fe94d10d",1,1,6,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,70,"flipped"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","5ef2d157c9260013fe94d10d",1,1,6,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,50,"flipped"
"Gym Prices Leave Would-Be Climbers Grasping for an Affordable Hold","5ef2d157c9260013fe94d10d",1,1,1,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,44,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","5ef2d157c9260013fe94d10d",1,1,2,"Bachelor's degree in college (4-year)",1,0,0,0,NA,"Female",2,"Not at all interested,Extremely interested",90,1,3,6,90,1,4,5,5,3,4,5,3,4,36,"flipped"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","6508cb7b6b9bcb7cf7543c2a",1,1,1,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,44,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","6508cb7b6b9bcb7cf7543c2a",2,2,1,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,103,"original"
"2024: A Defining Election For Black Rights And Economic Equality","6508cb7b6b9bcb7cf7543c2a",1,1,1,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,31,"original"
"How can we understand wealth inequality across countries?","6508cb7b6b9bcb7cf7543c2a",3,2,2,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,3,"original"
"Voter turnout in metro Atlanta differs by region, race and income","6508cb7b6b9bcb7cf7543c2a",4,4,3,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,70,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","6508cb7b6b9bcb7cf7543c2a",4,4,4,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,76,"original"
"Economic Gains From Tech Come at the Cost of Rising Wealth Inequality","6508cb7b6b9bcb7cf7543c2a",4,5,4,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,16,"original"
"New Report Exposes Tax System’s Role in Widening Racial Wealth Gap, Calls for Urgent Reforms","6508cb7b6b9bcb7cf7543c2a",5,5,4,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,1,"original"
"Bernie Sanders 2020: Is US inequality the highest?","6508cb7b6b9bcb7cf7543c2a",2,2,2,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,23,"original"
"The Race Gap: How U.S. systemic racism plays out in Black lives","6508cb7b6b9bcb7cf7543c2a",1,1,1,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,50,"original"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","6508cb7b6b9bcb7cf7543c2a",5,5,5,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,95,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","6508cb7b6b9bcb7cf7543c2a",6,6,6,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,21,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","6508cb7b6b9bcb7cf7543c2a",5,6,2,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,2,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","6508cb7b6b9bcb7cf7543c2a",5,5,5,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,65,"flipped"
"Despite Record Low Unemployment, Racial Employment Gap Remains a Major Challenge","6508cb7b6b9bcb7cf7543c2a",2,3,2,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,34,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","6508cb7b6b9bcb7cf7543c2a",2,3,1,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,36,"flipped"
"Research Challenges Assumption that Lower Interest Rates Make Education More Accessible to the Poor","6508cb7b6b9bcb7cf7543c2a",6,6,4,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,26,"flipped"
"Choices and Circumstances: Exploring the Complexities of the Gender Pay Gap","6508cb7b6b9bcb7cf7543c2a",1,2,1,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,15,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","6508cb7b6b9bcb7cf7543c2a",3,4,3,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,5,"flipped"
"New Pilot Program in Colorado Offers $7200 in Assistance to Families with Young Children","6508cb7b6b9bcb7cf7543c2a",4,5,4,"Some college but no degree",1,0,0,0,4,"Male",2,"Not at all interested,Extremely interested",80,1,5,14,69,5,9,17,6,6,5,6,5,6,92,"flipped"
"Bernie Sanders 2020: Is US inequality the highest?","65ddf5b38e9a6e841cf8cd68",7,6,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,23,"original"
"Wage Gap Statistics: The Numbers Behind Pay Disparity","65ddf5b38e9a6e841cf8cd68",6,6,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,15,"original"
"Economic Gains From Tech Come at the Cost of Rising Wealth Inequality","65ddf5b38e9a6e841cf8cd68",7,7,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,16,"original"
"Can Low Interest Rates Drive Inequality?","65ddf5b38e9a6e841cf8cd68",5,5,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,26,"original"
"The Paradox Of Progress For Black Americans","65ddf5b38e9a6e841cf8cd68",7,5,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,34,"original"
"New Universal Basic Income Program in this state: $300/monthly payments coming soon","65ddf5b38e9a6e841cf8cd68",7,7,7,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,92,"original"
"Voter turnout in metro Atlanta differs by region, race and income","65ddf5b38e9a6e841cf8cd68",7,7,7,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,70,"original"
"Can Climbing Outrun its Own Elitism with Inclusive Gym Pricing?","65ddf5b38e9a6e841cf8cd68",2,2,4,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,44,"original"
"Inequality and complacency: Experts weigh in on Minnesota’s lagging student achievement","65ddf5b38e9a6e841cf8cd68",6,5,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,103,"original"
"The Alaska Permanent Fund isn't exactly universal basic income, but offers similar benefits to UBI. Here's how it works.","65ddf5b38e9a6e841cf8cd68",7,6,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,76,"original"
"Gap in Life Expectancy Between Black and White Americans Remains Wide","65ddf5b38e9a6e841cf8cd68",7,6,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,50,"flipped"
"US Sees Unprecedented Wealth Growth, Outpacing Global Peers","65ddf5b38e9a6e841cf8cd68",5,5,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,5,"flipped"
"Tax Experts Identify Inequities in Current Tax Law, Propose Solutions","65ddf5b38e9a6e841cf8cd68",7,5,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,2,"flipped"
"Proposed GOP Budget Cuts Would Reduce Federal Deficit, but Carry Social Costs","65ddf5b38e9a6e841cf8cd68",7,7,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,21,"flipped"
"New Study Reveals Surprising Differences in Wealth Inequality Across Countries","65ddf5b38e9a6e841cf8cd68",7,5,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,3,"flipped"
"Jamie Dimon Urges Presidential Candidates to Set Aside Partisan Rhetoric and Focus on Common Ground","65ddf5b38e9a6e841cf8cd68",3,4,4,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,95,"flipped"
"Report Highlights Racial Wealth Gap in US Tax System","65ddf5b38e9a6e841cf8cd68",7,5,6,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,1,"flipped"
"Debate Over Trickle-Down Economics Fueled by New Research","65ddf5b38e9a6e841cf8cd68",5,5,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,65,"flipped"
"Conservative Author Sparks Discussion on Campus with Views on Inequality","65ddf5b38e9a6e841cf8cd68",5,4,4,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,36,"flipped"
"Black Americans Face a Critical Choice in the 2024 Election","65ddf5b38e9a6e841cf8cd68",7,5,5,"Master's degree",-3,-1,-1,-1,NA,"Female",3,"Not at all interested,Extremely interested",50,2,17,31,80,2,5,13,7,5,5,7,7,5,31,"flipped"
"Bernie Sanders 2020: Is US inequality the highest?","676d6b0a137e2c9c8e9fc347",1,1,1,"Bachelor's degree in college (4-year)",2,1,0,0.5,NA,"Male",3,"Not at all interested,Extremely interested",40,18,29,13,22,26,28,24,3,1,6,3,2,6,23,"original"
"The Paradox Of Progress For Black Americans","676d6b0a137e2c9c8e9fc347",1,1,1,"Bachelor's degree in college (4-year)",2,1,0,0.5,NA,"Male",3,"Not at all interested,Extremely interested",40,18,29,13,22,26,28,24,3,1,6,3,2,6,34,"original"
